business_name,contact_name,email,phone,industry,city,source,status,notes,last_contact
"BLVD Dentistry & Orthodontics","","","(737) 990-4135","dentist","Austin","WebSearch","not_contacted","5th Street location"
"Northwest Austin Family Dentistry","","","(512) 363-5222","dentist","Austin","WebSearch","not_contacted","Extended hours, Saturday available"
"Brilliant Smiles","","","(512) 452-0888","dentist","Austin","WebSearch","not_contacted","5608 Parkcrest Drive"
"Medspa of Austin","","","(737) 386-4306","medspa","Austin","WebSearch","not_contacted","Fastest growing medspa"
"Muse MedSpa","","","(512) 230-3422","medspa","Austin","WebSearch","not_contacted","Westlake area"
"Aesthetica Med Spa","","","(737) 260-5766","medspa","Austin","WebSearch","not_contacted","Award winning"
"Viva Day Spa + Med Spa","","","(512) 300-2256","medspa","Austin","WebSearch","not_contacted","Open 9am-9pm daily"
"TOC Medical Spa","","","(512) 533-7317","medspa","Austin","WebSearch","not_contacted","Austin original"
"Transform Austin Med Spa","","","(512) 600-7537","medspa","Austin","WebSearch","not_contacted","Weight loss & wellness"
"Grace MedSpa & Body Solutions","","","(512) 229-9169","medspa","Austin","WebSearch","not_contacted","Northwest Austin"
"Glo Med Spa","","","(512) 336-7546","medspa","Austin","WebSearch","not_contacted","Northwest Austin"
"Rejuvenate Austin","","","(512) 923-1071","medspa","Austin","WebSearch","not_contacted","Physician owned"
"Genuine Automotive & Diesel","","","(512) 410-2599","auto_repair","Austin","WebSearch","not_contacted","Locally owned"
"Auto Tek","","","(512) 326-3881","auto_repair","Austin","WebSearch","not_contacted","Since 1993"
"Edgestone Automotive","","","(512) 288-5050","auto_repair","Austin","WebSearch","not_contacted","Family owned since 2013"
"Arbor Autoworks","","","(512) 346-0152","auto_repair","Austin","WebSearch","not_contacted","Family owned since 1990"
"Hackney Auto","","","(512) 447-1900","auto_repair","Austin","WebSearch","not_contacted","South Austin independent"
"Austin Auto Repair","","","(512) 288-4932","auto_repair","Austin","WebSearch","not_contacted","Since 1983"
"Automotive Specialists","","","(512) 288-1111","auto_repair","Austin","WebSearch","not_contacted","Mon-Fri 8-5"
"Van & Van Builders","","","(512) 563-6398","contractor","Austin","WebSearch","not_contacted","Since 1985, residential & commercial"
"Contractors Inc","","","(512) 733-0600","contractor","Austin","WebSearch","not_contacted","Full service"
"EmpireWorks","","","(512) 364-6935","contractor","Austin","WebSearch","not_contacted","HOA reconstruction"
